NID,PID,Age,Gender,Hand,Condition,Question,Response
8,828224215,23,f,r,control,Q7,10
8,828224215,23,f,r,control,Q8,0
8,828224215,23,f,r,control,Q9,10
8,828224215,23,f,r,control,Q10,0
8,828224215,23,f,r,control,Q11,10
8,828224215,23,f,r,control,Q12,0
8,828224215,23,f,r,control,Q13,2.25
8,828224215,23,f,r,control,2Q1,0
8,828224215,23,f,r,control,2Q2,10
8,828224215,23,f,r,control,2Q3,5
8,828224215,23,f,r,control,2Q4,7.4
8,828224215,23,f,r,control,2Q5,1.3
8,828224215,23,f,r,control,2Q6,7
10,829000217,19,m,r,control,Q7,8.2
10,829000217,19,m,r,control,Q8,1.6
10,829000217,19,m,r,control,Q9,5.8
10,829000217,19,m,r,control,Q10,1
10,829000217,19,m,r,control,Q11,6.95
10,829000217,19,m,r,control,Q12,1.3
10,829000217,19,m,r,control,Q13,4
10,829000217,19,m,r,control,2Q1,3.2
10,829000217,19,m,r,control,2Q2,6
10,829000217,19,m,r,control,2Q3,7.5
10,829000217,19,m,r,control,2Q4,1.6
10,829000217,19,m,r,control,2Q5,6.4
10,829000217,19,m,r,control,2Q6,2.9
12,829003512,21,m,r,control,Q7,8.3
12,829003512,21,m,r,control,Q8,1.8
12,829003512,21,m,r,control,Q9,9.9
12,829003512,21,m,r,control,Q10,1.5
12,829003512,21,m,r,control,Q11,8.5
12,829003512,21,m,r,control,Q12,1
12,829003512,21,m,r,control,Q13,0.35
12,829003512,21,m,r,control,2Q1,9.6
12,829003512,21,m,r,control,2Q2,0.3
12,829003512,21,m,r,control,2Q3,7.1
12,829003512,21,m,r,control,2Q4,2.2
12,829003512,21,m,r,control,2Q5,8.7
12,829003512,21,m,r,control,2Q6,1.4
14,829013000,40,f,r,control,Q7,10
14,829013000,40,f,r,control,Q8,0
14,829013000,40,f,r,control,Q9,8.6
14,829013000,40,f,r,control,Q10,1
14,829013000,40,f,r,control,Q11,10
14,829013000,40,f,r,control,Q12,0
14,829013000,40,f,r,control,Q13,4.8
14,829013000,40,f,r,control,2Q1,10
14,829013000,40,f,r,control,2Q2,0
14,829013000,40,f,r,control,2Q3,10
14,829013000,40,f,r,control,2Q4,0
14,829013000,40,f,r,control,2Q5,10
14,829013000,40,f,r,control,2Q6,0
16,829022003,18,m,r,control,Q7,10
16,829022003,18,m,r,control,Q8,0
16,829022003,18,m,r,control,Q9,10
16,829022003,18,m,r,control,Q10,0
16,829022003,18,m,r,control,Q11,10
16,829022003,18,m,r,control,Q12,0
16,829022003,18,m,r,control,Q13,9.35
16,829022003,18,m,r,control,2Q1,10
16,829022003,18,m,r,control,2Q2,0
16,829022003,18,m,r,control,2Q3,10
16,829022003,18,m,r,control,2Q4,0
16,829022003,18,m,r,control,2Q5,10
16,829022003,18,m,r,control,2Q6,0.1
20,829031537,19,f,r,control,Q7,0.2
20,829031537,19,f,r,control,Q8,2
20,829031537,19,f,r,control,Q9,4.35
20,829031537,19,f,r,control,Q10,4.7
20,829031537,19,f,r,control,Q11,7.1
20,829031537,19,f,r,control,Q12,2.3
20,829031537,19,f,r,control,Q13,1.8
20,829031537,19,f,r,control,2Q1,8.1
20,829031537,19,f,r,control,2Q2,2.2
20,829031537,19,f,r,control,2Q3,8.3
20,829031537,19,f,r,control,2Q4,1.5
20,829031537,19,f,r,control,2Q5,7.6
20,829031537,19,f,r,control,2Q6,1.9
22,829035410,27,m,r,control,Q7,8.2
22,829035410,27,m,r,control,Q8,1.25
22,829035410,27,m,r,control,Q9,9
22,829035410,27,m,r,control,Q10,1
22,829035410,27,m,r,control,Q11,10
22,829035410,27,m,r,control,Q12,0
22,829035410,27,m,r,control,Q13,10
22,829035410,27,m,r,control,2Q1,9.5
22,829035410,27,m,r,control,2Q2,0.7
22,829035410,27,m,r,control,2Q3,9.9
22,829035410,27,m,r,control,2Q4,0.5
22,829035410,27,m,r,control,2Q5,8.4
22,829035410,27,m,r,control,2Q6,0.5
24,829042744,19,m,r,control,Q7,2
24,829042744,19,m,r,control,Q8,7.15
24,829042744,19,m,r,control,Q9,0.1
24,829042744,19,m,r,control,Q10,9.6
24,829042744,19,m,r,control,Q11,3.4
24,829042744,19,m,r,control,Q12,7.4
24,829042744,19,m,r,control,Q13,0.2
24,829042744,19,m,r,control,2Q1,7
24,829042744,19,m,r,control,2Q2,2.2
24,829042744,19,m,r,control,2Q3,7.8
24,829042744,19,m,r,control,2Q4,0.6
24,829042744,19,m,r,control,2Q5,6.7
24,829042744,19,m,r,control,2Q6,2.5
26,829045330,19,m,l,control,Q7,7.1
26,829045330,19,m,l,control,Q8,2.1
26,829045330,19,m,l,control,Q9,5.1
26,829045330,19,m,l,control,Q10,5
26,829045330,19,m,l,control,Q11,7.3
26,829045330,19,m,l,control,Q12,3.9
26,829045330,19,m,l,control,Q13,4.1
26,829045330,19,m,l,control,2Q1,7.1
26,829045330,19,m,l,control,2Q2,3.2
26,829045330,19,m,l,control,2Q3,8.3
26,829045330,19,m,l,control,2Q4,1.1
26,829045330,19,m,l,control,2Q5,7.1
26,829045330,19,m,l,control,2Q6,3.7
28,901213006,21,m,r,control,Q7,9
28,901213006,21,m,r,control,Q8,0.6
28,901213006,21,m,r,control,Q9,0.5
28,901213006,21,m,r,control,Q10,5.35
28,901213006,21,m,r,control,Q11,9.6
28,901213006,21,m,r,control,Q12,0.2
28,901213006,21,m,r,control,Q13,1.3
28,901213006,21,m,r,control,2Q1,9.5
28,901213006,21,m,r,control,2Q2,0.5
28,901213006,21,m,r,control,2Q3,8
28,901213006,21,m,r,control,2Q4,1.8
28,901213006,21,m,r,control,2Q5,7.5
28,901213006,21,m,r,control,2Q6,1.7
30,901231638,19,m,r,control,Q7,8.2
30,901231638,19,m,r,control,Q8,1.2
30,901231638,19,m,r,control,Q9,9
30,901231638,19,m,r,control,Q10,0.5
30,901231638,19,m,r,control,Q11,9
30,901231638,19,m,r,control,Q12,0.7
30,901231638,19,m,r,control,Q13,9
30,901231638,19,m,r,control,2Q1,5.2
30,901231638,19,m,r,control,2Q2,2.5
30,901231638,19,m,r,control,2Q3,7.3
30,901231638,19,m,r,control,2Q4,1.3
30,901231638,19,m,r,control,2Q5,7.7
30,901231638,19,m,r,control,2Q6,2
32,902000657,19,m,l,control,Q7,6.3
32,902000657,19,m,l,control,Q8,1.05
32,902000657,19,m,l,control,Q9,4.5
32,902000657,19,m,l,control,Q10,4.2
32,902000657,19,m,l,control,Q11,9.5
32,902000657,19,m,l,control,Q12,0.4
32,902000657,19,m,l,control,Q13,4
32,902000657,19,m,l,control,2Q1,7.3
32,902000657,19,m,l,control,2Q2,1.7
32,902000657,19,m,l,control,2Q3,9.9
32,902000657,19,m,l,control,2Q4,0.1
32,902000657,19,m,l,control,2Q5,9.9
32,902000657,19,m,l,control,2Q6,0
34,902002326,25,m,r,control,Q7,9.8
34,902002326,25,m,r,control,Q8,0.1
34,902002326,25,m,r,control,Q9,9.3
34,902002326,25,m,r,control,Q10,0.5
34,902002326,25,m,r,control,Q11,9.5
34,902002326,25,m,r,control,Q12,0.4
34,902002326,25,m,r,control,Q13,8.9
34,902002326,25,m,r,control,2Q1,9.6
34,902002326,25,m,r,control,2Q2,0.3
34,902002326,25,m,r,control,2Q3,9.7
34,902002326,25,m,r,control,2Q4,0.2
34,902002326,25,m,r,control,2Q5,9.3
34,902002326,25,m,r,control,2Q6,0.5
36,902003427,18,m,r,control,Q7,5.4
36,902003427,18,m,r,control,Q8,5.5
36,902003427,18,m,r,control,Q9,8
36,902003427,18,m,r,control,Q10,1.3
36,902003427,18,m,r,control,Q11,1.1
36,902003427,18,m,r,control,Q12,8.7
36,902003427,18,m,r,control,Q13,1
36,902003427,18,m,r,control,2Q1,2.3
36,902003427,18,m,r,control,2Q2,7.8
36,902003427,18,m,r,control,2Q3,6.4
36,902003427,18,m,r,control,2Q4,2.8
36,902003427,18,m,r,control,2Q5,2.2
36,902003427,18,m,r,control,2Q6,7.5
38,902012339,24,f,r,control,Q7,8.4
38,902012339,24,f,r,control,Q8,0.7
38,902012339,24,f,r,control,Q9,5.5
38,902012339,24,f,r,control,Q10,3.7
38,902012339,24,f,r,control,Q11,7.5
38,902012339,24,f,r,control,Q12,2.4
38,902012339,24,f,r,control,Q13,8.2
38,902012339,24,f,r,control,2Q1,8
38,902012339,24,f,r,control,2Q2,1.8
38,902012339,24,f,r,control,2Q3,7.1
38,902012339,24,f,r,control,2Q4,1.3
38,902012339,24,f,r,control,2Q5,7.8
38,902012339,24,f,r,control,2Q6,1.5
40,902021905,25,m,r,control,Q7,8
40,902021905,25,m,r,control,Q8,1.8
40,902021905,25,m,r,control,Q9,6.7
40,902021905,25,m,r,control,Q10,2.6
40,902021905,25,m,r,control,Q11,10
40,902021905,25,m,r,control,Q12,0
40,902021905,25,m,r,control,Q13,7.8
40,902021905,25,m,r,control,2Q1,9.8
40,902021905,25,m,r,control,2Q2,0.1
40,902021905,25,m,r,control,2Q3,9.8
40,902021905,25,m,r,control,2Q4,0.1
40,902021905,25,m,r,control,2Q5,9.8
40,902021905,25,m,r,control,2Q6,0.1
42,902033044,20,m,r,control,Q7,7.05
42,902033044,20,m,r,control,Q8,2.3
42,902033044,20,m,r,control,Q9,7.4
42,902033044,20,m,r,control,Q10,2.3
42,902033044,20,m,r,control,Q11,9.5
42,902033044,20,m,r,control,Q12,1.5
42,902033044,20,m,r,control,Q13,2.5
42,902033044,20,m,r,control,2Q1,6.3
42,902033044,20,m,r,control,2Q2,3.9
42,902033044,20,m,r,control,2Q3,8.8
42,902033044,20,m,r,control,2Q4,0.4
42,902033044,20,m,r,control,2Q5,3.3
42,902033044,20,m,r,control,2Q6,5.4
45,902035725,19,m,r,control,Q7,7.3
45,902035725,19,m,r,control,Q8,3
45,902035725,19,m,r,control,Q9,5.8
45,902035725,19,m,r,control,Q10,4.2
45,902035725,19,m,r,control,Q11,8.6
45,902035725,19,m,r,control,Q12,1.2
45,902035725,19,m,r,control,Q13,6.3
45,902035725,19,m,r,control,2Q1,7.1
45,902035725,19,m,r,control,2Q2,2.3
45,902035725,19,m,r,control,2Q3,7.6
45,902035725,19,m,r,control,2Q4,1.9
45,902035725,19,m,r,control,2Q5,6.5
45,902035725,19,m,r,control,2Q6,3.6
47,902235621,19,m,r,control,Q7,7
47,902235621,19,m,r,control,Q8,2.7
47,902235621,19,m,r,control,Q9,8.4
47,902235621,19,m,r,control,Q10,1.3
47,902235621,19,m,r,control,Q11,8.3
47,902235621,19,m,r,control,Q12,0.7
47,902235621,19,m,r,control,Q13,5.3
47,902235621,19,m,r,control,2Q1,8
47,902235621,19,m,r,control,2Q2,2
47,902235621,19,m,r,control,2Q3,3.2
47,902235621,19,m,r,control,2Q4,7.1
47,902235621,19,m,r,control,2Q5,5
47,902235621,19,m,r,control,2Q6,4.8
7,828221945,37,m,r,glissando,Q1,7.1
7,828221945,37,m,r,glissando,Q2,0.1
7,828221945,37,m,r,glissando,Q3,5
7,828221945,37,m,r,glissando,Q4,4.9
7,828221945,37,m,r,glissando,Q5,4.6
7,828221945,37,m,r,glissando,Q6,4.8
7,828221945,37,m,r,glissando,Q7,9.6
7,828221945,37,m,r,glissando,Q8,0.25
7,828221945,37,m,r,glissando,Q9,9.5
7,828221945,37,m,r,glissando,Q10,0.2
7,828221945,37,m,r,glissando,Q11,9.5
7,828221945,37,m,r,glissando,Q12,0.2
7,828221945,37,m,r,glissando,Q13,7.2
7,828221945,37,m,r,glissando,2Q1,9.8
7,828221945,37,m,r,glissando,2Q2,0.2
7,828221945,37,m,r,glissando,2Q3,6.7
7,828221945,37,m,r,glissando,2Q4,2.7
7,828221945,37,m,r,glissando,2Q5,9.8
7,828221945,37,m,r,glissando,2Q6,0.2
9,828233427,20,m,l,glissando,Q1,7.25
9,828233427,20,m,l,glissando,Q2,1.9
9,828233427,20,m,l,glissando,Q3,7.4
9,828233427,20,m,l,glissando,Q4,1.7
9,828233427,20,m,l,glissando,Q5,7.9
9,828233427,20,m,l,glissando,Q6,1.4
9,828233427,20,m,l,glissando,Q7,8.3
9,828233427,20,m,l,glissando,Q8,0.7
9,828233427,20,m,l,glissando,Q9,7.4
9,828233427,20,m,l,glissando,Q10,1.1
9,828233427,20,m,l,glissando,Q11,8.3
9,828233427,20,m,l,glissando,Q12,1.3
9,828233427,20,m,l,glissando,Q13,6.5
9,828233427,20,m,l,glissando,2Q1,7.5
9,828233427,20,m,l,glissando,2Q2,1.2
9,828233427,20,m,l,glissando,2Q3,8.8
9,828233427,20,m,l,glissando,2Q4,0.8
9,828233427,20,m,l,glissando,2Q5,8.9
9,828233427,20,m,l,glissando,2Q6,0.9
11,82902156,21,m,r,glissando,2Q1,7.2
11,82902156,21,m,r,glissando,2Q2,2.1
11,82902156,21,m,r,glissando,2Q3,8.4
11,82902156,21,m,r,glissando,2Q4,1.3
11,82902156,21,m,r,glissando,2Q5,6.5
11,82902156,21,m,r,glissando,2Q6,3.9
13,829005450,19,m,r,glissando,Q1,6.8
13,829005450,19,m,r,glissando,Q2,0.8
13,829005450,19,m,r,glissando,Q3,0
13,829005450,19,m,r,glissando,Q4,9.2
13,829005450,19,m,r,glissando,Q5,1.1
13,829005450,19,m,r,glissando,Q6,8.8
13,829005450,19,m,r,glissando,Q7,9
13,829005450,19,m,r,glissando,Q8,0.25
13,829005450,19,m,r,glissando,Q9,9.3
13,829005450,19,m,r,glissando,Q10,0.35
13,829005450,19,m,r,glissando,Q11,9.45
13,829005450,19,m,r,glissando,Q12,8.25
13,829005450,19,m,r,glissando,Q13,5.55
13,829005450,19,m,r,glissando,2Q1,4.5
13,829005450,19,m,r,glissando,2Q2,4.6
13,829005450,19,m,r,glissando,2Q3,9.5
13,829005450,19,m,r,glissando,2Q4,0.3
13,829005450,19,m,r,glissando,2Q5,9.9
13,829005450,19,m,r,glissando,2Q6,0.1
15,829020757,18,m,r,glissando,Q1,5.7
15,829020757,18,m,r,glissando,Q2,3.2
15,829020757,18,m,r,glissando,Q3,4.9
15,829020757,18,m,r,glissando,Q4,4.9
15,829020757,18,m,r,glissando,Q5,6
15,829020757,18,m,r,glissando,Q6,6.2
15,829020757,18,m,r,glissando,Q7,9.1
15,829020757,18,m,r,glissando,Q8,0.1
15,829020757,18,m,r,glissando,Q9,9.1
15,829020757,18,m,r,glissando,Q10,0.8
15,829020757,18,m,r,glissando,Q11,9
15,829020757,18,m,r,glissando,Q12,0.2
15,829020757,18,m,r,glissando,Q13,7.1
15,829020757,18,m,r,glissando,2Q1,9.1
15,829020757,18,m,r,glissando,2Q2,0.5
15,829020757,18,m,r,glissando,2Q3,9.4
15,829020757,18,m,r,glissando,2Q4,0.4
15,829020757,18,m,r,glissando,2Q5,9.5
15,829020757,18,m,r,glissando,2Q6,0.4
17,829024939,21,f,r,glissando,Q1,7.4
17,829024939,21,f,r,glissando,Q2,3.6
17,829024939,21,f,r,glissando,Q3,0
17,829024939,21,f,r,glissando,Q4,10
17,829024939,21,f,r,glissando,Q5,7.3
17,829024939,21,f,r,glissando,Q6,2.5
17,829024939,21,f,r,glissando,Q7,9.35
17,829024939,21,f,r,glissando,Q8,0.8
17,829024939,21,f,r,glissando,Q9,9.5
17,829024939,21,f,r,glissando,Q10,0.4
17,829024939,21,f,r,glissando,Q11,9.3
17,829024939,21,f,r,glissando,Q12,0.5
17,829024939,21,f,r,glissando,Q13,6.2
17,829024939,21,f,r,glissando,2Q1,9.3
17,829024939,21,f,r,glissando,2Q2,1
17,829024939,21,f,r,glissando,2Q3,9.2
17,829024939,21,f,r,glissando,2Q4,0.8
17,829024939,21,f,r,glissando,2Q5,8.9
17,829024939,21,f,r,glissando,2Q6,1.3
19,829030408,19,f,r,glissando,Q1,7.8
19,829030408,19,f,r,glissando,Q2,2.2
19,829030408,19,f,r,glissando,Q3,7.05
19,829030408,19,f,r,glissando,Q4,2.5
19,829030408,19,f,r,glissando,Q5,6.3
19,829030408,19,f,r,glissando,Q6,3
19,829030408,19,f,r,glissando,Q7,10
19,829030408,19,f,r,glissando,Q8,0
19,829030408,19,f,r,glissando,Q9,10
19,829030408,19,f,r,glissando,Q10,0
19,829030408,19,f,r,glissando,Q11,10
19,829030408,19,f,r,glissando,Q12,0
19,829030408,19,f,r,glissando,Q13,5.75
19,829030408,19,f,r,glissando,2Q1,7.7
19,829030408,19,f,r,glissando,2Q2,1.6
19,829030408,19,f,r,glissando,2Q3,8.6
19,829030408,19,f,r,glissando,2Q4,1.3
19,829030408,19,f,r,glissando,2Q5,7.5
19,829030408,19,f,r,glissando,2Q6,2.6
21,829032331,21,f,r,glissando,Q1,3.1
21,829032331,21,f,r,glissando,Q2,6.9
21,829032331,21,f,r,glissando,Q3,4.2
21,829032331,21,f,r,glissando,Q4,7.2
21,829032331,21,f,r,glissando,Q5,1.5
21,829032331,21,f,r,glissando,Q6,7.4
21,829032331,21,f,r,glissando,Q7,9.8
21,829032331,21,f,r,glissando,Q8,0.2
21,829032331,21,f,r,glissando,Q9,9.8
21,829032331,21,f,r,glissando,Q10,0.2
21,829032331,21,f,r,glissando,Q11,9.6
21,829032331,21,f,r,glissando,Q12,0.1
21,829032331,21,f,r,glissando,Q13,7.3
21,829032331,21,f,r,glissando,2Q1,8.9
21,829032331,21,f,r,glissando,2Q2,0.5
21,829032331,21,f,r,glissando,2Q3,9.6
21,829032331,21,f,r,glissando,2Q4,0.3
21,829032331,21,f,r,glissando,2Q5,4.3
21,829032331,21,f,r,glissando,2Q6,0.4
23,829041955,24,m,r,glissando,Q1,10
23,829041955,24,m,r,glissando,Q2,0
23,829041955,24,m,r,glissando,Q3,9
23,829041955,24,m,r,glissando,Q4,0
23,829041955,24,m,r,glissando,Q5,10
23,829041955,24,m,r,glissando,Q6,0
23,829041955,24,m,r,glissando,Q7,10
23,829041955,24,m,r,glissando,Q8,0
23,829041955,24,m,r,glissando,Q9,10
23,829041955,24,m,r,glissando,Q10,0
23,829041955,24,m,r,glissando,Q11,10
23,829041955,24,m,r,glissando,Q12,0
23,829041955,24,m,r,glissando,Q13,8
23,829041955,24,m,r,glissando,2Q1,9.9
23,829041955,24,m,r,glissando,2Q2,0.1
23,829041955,24,m,r,glissando,2Q3,9.6
23,829041955,24,m,r,glissando,2Q4,0
23,829041955,24,m,r,glissando,2Q5,9.8
23,829041955,24,m,r,glissando,2Q6,0.1
25,829043832,20,m,r,glissando,Q1,7.3
25,829043832,20,m,r,glissando,Q2,0
25,829043832,20,m,r,glissando,Q3,7.4
25,829043832,20,m,r,glissando,Q4,0
25,829043832,20,m,r,glissando,Q5,9.9
25,829043832,20,m,r,glissando,Q6,0.1
25,829043832,20,m,r,glissando,Q7,9.9
25,829043832,20,m,r,glissando,Q8,0.1
25,829043832,20,m,r,glissando,Q9,7.2
25,829043832,20,m,r,glissando,Q10,0.1
25,829043832,20,m,r,glissando,Q11,0.9
25,829043832,20,m,r,glissando,Q12,0
25,829043832,20,m,r,glissando,Q13,7.5
25,829043832,20,m,r,glissando,2Q1,7.1
25,829043832,20,m,r,glissando,2Q2,3.2
25,829043832,20,m,r,glissando,2Q3,8.3
25,829043832,20,m,r,glissando,2Q4,1.1
25,829043832,20,m,r,glissando,2Q5,7.1
25,829043832,20,m,r,glissando,2Q6,3.7
27,901205205,21,m,r,glissando,Q1,8
27,901205205,21,m,r,glissando,Q2,1
27,901205205,21,m,r,glissando,Q3,8
27,901205205,21,m,r,glissando,Q4,0
27,901205205,21,m,r,glissando,Q5,3
27,901205205,21,m,r,glissando,Q6,8
27,901205205,21,m,r,glissando,Q7,10
27,901205205,21,m,r,glissando,Q8,0
27,901205205,21,m,r,glissando,Q9,9
27,901205205,21,m,r,glissando,Q10,0
27,901205205,21,m,r,glissando,Q11,10
27,901205205,21,m,r,glissando,Q12,0
27,901205205,21,m,r,glissando,Q13,10
27,901205205,21,m,r,glissando,2Q1,5.4
27,901205205,21,m,r,glissando,2Q2,7.9
27,901205205,21,m,r,glissando,2Q3,8.6
27,901205205,21,m,r,glissando,2Q4,1.8
27,901205205,21,m,r,glissando,2Q5,6.5
27,901205205,21,m,r,glissando,2Q6,1.2
29,901221857,19,f,r,glissando,Q1,7.5
29,901221857,19,f,r,glissando,Q2,2.4
29,901221857,19,f,r,glissando,Q3,7.4
29,901221857,19,f,r,glissando,Q4,2.9
29,901221857,19,f,r,glissando,Q5,5.3
29,901221857,19,f,r,glissando,Q6,4.8
29,901221857,19,f,r,glissando,Q7,9
29,901221857,19,f,r,glissando,Q8,0.7
29,901221857,19,f,r,glissando,Q9,6.4
29,901221857,19,f,r,glissando,Q10,2.9
29,901221857,19,f,r,glissando,Q11,8
29,901221857,19,f,r,glissando,Q12,1.1
29,901221857,19,f,r,glissando,Q13,5.6
29,901221857,19,f,r,glissando,2Q1,7
29,901221857,19,f,r,glissando,2Q2,1.6
29,901221857,19,f,r,glissando,2Q3,8.4
29,901221857,19,f,r,glissando,2Q4,1.2
29,901221857,19,f,r,glissando,2Q5,9.1
29,901221857,19,f,r,glissando,2Q6,0.6
31,901235733,19,m,r,glissando,Q1,2.8
31,901235733,19,m,r,glissando,Q2,0.9
31,901235733,19,m,r,glissando,Q3,2.8
31,901235733,19,m,r,glissando,Q4,3
31,901235733,19,m,r,glissando,Q5,2.8
31,901235733,19,m,r,glissando,Q6,3
31,901235733,19,m,r,glissando,Q7,8
31,901235733,19,m,r,glissando,Q8,0.5
31,901235733,19,m,r,glissando,Q9,9
31,901235733,19,m,r,glissando,Q10,1
31,901235733,19,m,r,glissando,Q11,9.2
31,901235733,19,m,r,glissando,Q12,1.3
31,901235733,19,m,r,glissando,Q13,0.7
31,901235733,19,m,r,glissando,2Q1,8
31,901235733,19,m,r,glissando,2Q2,1.4
31,901235733,19,m,r,glissando,2Q3,8
31,901235733,19,m,r,glissando,2Q4,1.5
31,901235733,19,m,r,glissando,2Q5,7.6
31,901235733,19,m,r,glissando,2Q6,1.9
33,902001426,19,m,r,glissando,Q1,3.1
33,902001426,19,m,r,glissando,Q2,4.7
33,902001426,19,m,r,glissando,Q3,6
33,902001426,19,m,r,glissando,Q4,3
33,902001426,19,m,r,glissando,Q5,2.5
33,902001426,19,m,r,glissando,Q6,6
33,902001426,19,m,r,glissando,Q7,8.2
33,902001426,19,m,r,glissando,Q8,1.7
33,902001426,19,m,r,glissando,Q9,6.2
33,902001426,19,m,r,glissando,Q10,2.5
33,902001426,19,m,r,glissando,Q11,9.7
33,902001426,19,m,r,glissando,Q12,0.5
33,902001426,19,m,r,glissando,Q13,5.7
33,902001426,19,m,r,glissando,2Q1,8.2
33,902001426,19,m,r,glissando,2Q2,1.1
33,902001426,19,m,r,glissando,2Q3,7.2
33,902001426,19,m,r,glissando,2Q4,2.2
33,902001426,19,m,r,glissando,2Q5,9.8
33,902001426,19,m,r,glissando,2Q6,0.1
35,902005143,20,m,r,glissando,Q1,7.8
35,902005143,20,m,r,glissando,Q2,7.8
35,902005143,20,m,r,glissando,Q3,5.2
35,902005143,20,m,r,glissando,Q4,7.15
35,902005143,20,m,r,glissando,Q5,3.7
35,902005143,20,m,r,glissando,Q6,6.3
35,902005143,20,m,r,glissando,Q7,4
35,902005143,20,m,r,glissando,Q8,2.7
35,902005143,20,m,r,glissando,Q9,5.6
35,902005143,20,m,r,glissando,Q10,3.8
35,902005143,20,m,r,glissando,Q11,6
35,902005143,20,m,r,glissando,Q12,6.2
35,902005143,20,m,r,glissando,Q13,4.9
35,902005143,20,m,r,glissando,2Q1,5.2
35,902005143,20,m,r,glissando,2Q2,2.2
35,902005143,20,m,r,glissando,2Q3,8
35,902005143,20,m,r,glissando,2Q4,1.6
35,902005143,20,m,r,glissando,2Q5,7.2
35,902005143,20,m,r,glissando,2Q6,1.7
37,902010635,19,m,r,glissando,Q1,6.2
37,902010635,19,m,r,glissando,Q2,0.1
37,902010635,19,m,r,glissando,Q3,7.5
37,902010635,19,m,r,glissando,Q4,0.2
37,902010635,19,m,r,glissando,Q5,8.5
37,902010635,19,m,r,glissando,Q6,0.3
37,902010635,19,m,r,glissando,Q7,9.4
37,902010635,19,m,r,glissando,Q8,5.6
37,902010635,19,m,r,glissando,Q9,6.1
37,902010635,19,m,r,glissando,Q10,5.2
37,902010635,19,m,r,glissando,Q11,6.1
37,902010635,19,m,r,glissando,Q12,3.55
37,902010635,19,m,r,glissando,Q13,4.5
37,902010635,19,m,r,glissando,2Q1,8.6
37,902010635,19,m,r,glissando,2Q2,0.6
37,902010635,19,m,r,glissando,2Q3,8.2
37,902010635,19,m,r,glissando,2Q4,0.3
37,902010635,19,m,r,glissando,2Q5,7.3
37,902010635,19,m,r,glissando,2Q6,0.5
43,902042142,26,f,r,glissando,Q1,5.7
43,902042142,26,f,r,glissando,Q2,3.2
43,902042142,26,f,r,glissando,Q3,3
43,902042142,26,f,r,glissando,Q4,7.1
43,902042142,26,f,r,glissando,Q5,6.25
43,902042142,26,f,r,glissando,Q6,2.9
43,902042142,26,f,r,glissando,Q7,4.2
43,902042142,26,f,r,glissando,Q8,5.6
43,902042142,26,f,r,glissando,Q9,6.1
43,902042142,26,f,r,glissando,Q10,5.2
43,902042142,26,f,r,glissando,Q11,6.1
43,902042142,26,f,r,glissando,Q12,3.55
43,902042142,26,f,r,glissando,Q13,4.5
43,902042142,26,f,r,glissando,2Q1,3.3
43,902042142,26,f,r,glissando,2Q2,6.2
43,902042142,26,f,r,glissando,2Q3,4.4
43,902042142,26,f,r,glissando,2Q4,4.5
43,902042142,26,f,r,glissando,2Q5,5.4
43,902042142,26,f,r,glissando,2Q6,3.5
46,902225824,19,f,r,glissando,Q1,7.5
46,902225824,19,f,r,glissando,Q2,0.1
46,902225824,19,f,r,glissando,Q3,8.8
46,902225824,19,f,r,glissando,Q4,1.9
46,902225824,19,f,r,glissando,Q5,0.5
46,902225824,19,f,r,glissando,Q6,9.3
46,902225824,19,f,r,glissando,Q7,9.8
46,902225824,19,f,r,glissando,Q8,0.2
46,902225824,19,f,r,glissando,Q9,9.6
46,902225824,19,f,r,glissando,Q10,0.2
46,902225824,19,f,r,glissando,Q11,9.6
46,902225824,19,f,r,glissando,Q12,0.2
46,902225824,19,f,r,glissando,Q13,9.6
46,902225824,19,f,r,glissando,2Q1,9.5
46,902225824,19,f,r,glissando,2Q2,0.5
46,902225824,19,f,r,glissando,2Q3,9.4
46,902225824,19,f,r,glissando,2Q4,1.2
46,902225824,19,f,r,glissando,2Q5,9.6
46,902225824,19,f,r,glissando,2Q6,0.8
48,912041542,27,m,r,glissando,Q1,3.5
48,912041542,27,m,r,glissando,Q2,6
48,912041542,27,m,r,glissando,Q3,2.8
48,912041542,27,m,r,glissando,Q4,6.9
48,912041542,27,m,r,glissando,Q5,5.8
48,912041542,27,m,r,glissando,Q6,3
48,912041542,27,m,r,glissando,Q7,9
48,912041542,27,m,r,glissando,Q8,7
48,912041542,27,m,r,glissando,Q9,6.1
48,912041542,27,m,r,glissando,Q10,2.1
48,912041542,27,m,r,glissando,Q11,9
48,912041542,27,m,r,glissando,Q12,1.1
48,912041542,27,m,r,glissando,Q13,9.7
48,912041542,27,m,r,glissando,2Q1,3.2
48,912041542,27,m,r,glissando,2Q2,5.8
48,912041542,27,m,r,glissando,2Q3,2.2
48,912041542,27,m,r,glissando,2Q4,7
48,912041542,27,m,r,glissando,2Q5,2
48,912041542,27,m,r,glissando,2Q6,7.1
